회사명,종업원수,생산품,용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),공장대표주소,도로명주소,업종명,년도,분기,위도,경도
(주)세광엔지니어링,4,증류기외,,129.5,139.2,경상남도 김해시 상동면 우계리 67-6,경상남도 김해시 상동면 묵방로 147,"증류기, 열교환기 및 가스발생기 제조업",2017,4,35.30049335,128.9130283
(주)세림,12,산업용기계,,642,420,,경상남도 김해시 안동 1B-23L번지,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",2017,4,35.24405788,128.9224184
(주)세명산업,9,접착테이프,,982,148.8,경상남도 김해시 상동면 매리 197,경상남도 김해시 상동면 동북로473번길 77,그 외 기타 플라스틱 제품 제조업 외 2 종,2017,4,35.31024613,128.9620661
(주)세광산업,12,자동차부품,,558,2,경상남도 김해시 상동면 우계리 443-1,경상남도 김해시 상동면 상동로375번길 75,그 외 자동차용 신품 부품 제조업 외 3 종,2017,4,35.31135382,128.9090195
(주)세라정공,15,기계부품임가공,,1459.38,189.84,경상남도 김해시 진영읍 본산리 300-16,경상남도 김해시 진영읍 본산로110번길 11-9,절삭가공 및 유사처리업,2017,4,35.31493348,128.7434746
(주)세명,5,"도난경보기,비상벨",,30,6,경상남도 김해시 봉황동 26-2,경상남도 김해시 김해대로2315번길 14,그 외 기타 전기장비 제조업 외 2 종,2017,4,35.22740002,128.8798763
(주)세림테크,30,사출성형품,,1200,150.48,경상남도 김해시 진례면 고모리 344,경상남도 김해시 진례면 고모로582번길 23,운송장비 조립용 플라스틱제품 제조업 외 1 종,2017,4,35.27554783,128.7788418
(주)세명테크,4,전기자동판넬,,663.4,364.83,경상남도 김해시 한림면 퇴래리 129,경상남도 김해시 한림면 김해대로1031번길 111,그 외 기타 일반목적용 기계 제조업 외 1 종,2017,4,35.30254038,128.7963993
(주)세보철강,2,철강절단,,356.45,62.5,경상남도 김해시 진영읍 죽곡리 233,경상남도 김해시 진영읍 서부로 283-15,그 외 기타 금속가공업,2017,4,35.27373066,128.7634347
(주)세빛,3,소재칩,,155,164,경상남도 김해시 생림면 생철리 215-1,경상남도 김해시 생림면 마사로 12-53,비금속류 해체 및 선별업 외 1 종,2017,4,35.34427906,128.8530143
(주)세남금속,4,철판절단,,698,0,경상남도 김해시 진영읍 의전리 61,경상남도 김해시 진영읍 서부로 297-14,그 외 기타 1차 철강 제조업,2017,4,35.27228748,128.7614414
(주)세림엔지니어링,5,유압기기,,330,0,경상남도 김해시 주촌면 내삼리 1170-2,경상남도 김해시 주촌면 서부로1499번길 54,유압기기 제조업,2017,4,35.2324436,128.8145698
(주)세명솔루션,2,유압밸브외,,431.2,66,경상남도 김해시 주촌면 원지리 887,경상남도 김해시 주촌면 서부로1701번길 230,유압기기 제조업,2017,4,35.25527211,128.8273276
(주)세명히트보일러,6,냉동기기 및 히트펌프보일러,,83.25,73.6,경상남도 김해시 상동면 감노리 634-2,경상남도 김해시 상동면 동북로1135번길 48,산업용 냉장 및 냉동 장비 제조업 외 3 종,2017,4,35.34880518,128.917608
